id,layer,scenario,fixture,expected,forbidden,status,evidence
INSTALL-001,install,Replace current installed Skill,host-codex-home,recoverable backup plus validated v0.3.1 install,destructive overwrite without rollback,planned,
SKILL-001,codex,Explicit invocation,small-real-pdf,five-section card and exact current JSON link,direct CLI narrative only,planned,
SKILL-002,codex,Natural-language invocation,real-pptx,Skill triggers and returns current slide evidence,Skill not loaded or wrong tool,planned,
SKILL-003,codex,Large PDF user journey,private-pdf-alias,477-page card and actual I/O evidence,default-budget failure or stale report,planned,
SKILL-004,codex,Missing Word page count,private-docx-alias,not obtained plus cautious review wording,guess or corruption claim,planned,
SKILL-005,codex,Large spreadsheet,private-xlsx-alias,current sheet-count card,file-size-only conclusion,planned,
SKILL-006,codex,Modern Keynote,public-keynote-v6,current slide-count card,unsupported legacy sample substituted,planned,
SKILL-007,codex,Password signal,public-password-pdf,password recommendation and structural-signal boundary,safety claim,planned,
SKILL-008,codex,Macro signal,public-with-macros-ppt,review recommendation without malware verdict,malicious-file verdict,planned,
SKILL-009,codex,Nonzero error JSON,malformed-or-budget-case,unable-to-continue card with current raw link,old report or fabricated fields,planned,
SKILL-010,codex,Summary request non-trigger,one-pdf,DeckProbe is not invoked and no probe JSON is created,probing merely because a PDF exists,planned,
SKILL-011,codex,URL folder and multi-file refusal,invalid-request-set,no automatic selection or batch,one input silently selected,planned,
PRIVACY-001,release,Public tracked-tree privacy,clean-clone,no private identity path hash content credential or workflow snapshot,.gitignore treated as sufficient proof,planned,
